#从数据库获取的Question表中数据：order（手工加的）,id,type,parent_id,总分占比（手工加的）
1,402882465a74692b015a746940fa002e,IS_PARENT,NULL,0
1,402882465a74692b015a746940fb002f,SINGLE_CHOICE,402882465a74692b015a746940fa002e,0
2,402882465a74692b015a746940fd0032,SINGLE_CHOICE,402882465a74692b015a746940fa002e,0
3,402882465a74692b015a746940fe0035,SINGLE_CHOICE,402882465a74692b015a746940fa002e,0
4,402882465a74692b015a746941000038,SINGLE_CHOICE,402882465a74692b015a746940fa002e,0
2,402882465a74692b015a74694101003b,SINGLE_CHOICE,NULL,0.2
3,402882465a74692b015a746941040046,IS_PARENT,NULL,0
1,402882465a74692b015a746941040047,SINGLE_CHOICE,402882465a74692b015a746941040046,0.04
2,402882465a74692b015a746941070053,SINGLE_CHOICE,402882465a74692b015a746941040046,0.04
3,402882465a74692b015a7469410b005f,SINGLE_CHOICE,402882465a74692b015a746941040046,0.04
4,402882465a74692b015a7469410e006b,SINGLE_CHOICE,402882465a74692b015a746941040046,0.04
5,402882465a74692b015a746941120077,SINGLE_CHOICE,402882465a74692b015a746941040046,0.04
6,402882465a74692b015a7469411a0083,SINGLE_CHOICE,402882465a74692b015a746941040046,0.04
4,402882465a74692b015a7469411d008f,IS_PARENT,NULL,0
1,402882465a74692b015a7469411e0090,SINGLE_CHOICE,402882465a74692b015a7469411d008f,0.05
2,402882465a74692b015a74694124009c,SINGLE_CHOICE,402882465a74692b015a7469411d008f,0.05
3,402882465a74692b015a7469412800a8,SINGLE_CHOICE,402882465a74692b015a7469411d008f,0.05
4,402882465a74692b015a7469412e00b4,SINGLE_CHOICE,402882465a74692b015a7469411d008f,0.05
5,402882465a74692b015a7469413100c0,SINGLE_CHOICE,NULL,0.12
6,402882465a74692b015a7469413300c5,SINGLE_CHOICE,NULL,0.12
7,402882465a74692b015a7469413400cb,SINGLE_CHOICE,NULL,0.09
8,402882465a74692b015a7469413600d0,SINGLE_CHOICE,NULL,0.03
9,402882465a74692b015a7469413700d3,SINGLE_CHOICE,NULL,0
